variant,split,scope,metric,n_samples,n_patches,mean,std,median,q25,q75,iqr,min,max,n_negative
baseline-short,val,all,ged,1,3021,0.854479968547821,0.5800212025642395,0.859375,0.34013691544532776,1.3821427822113037,1.042005866765976,0.06625638157129288,1.9478259086608887,0
baseline-short,val,all,ged_ys,1,3021,0.62272709608078,0.28504738211631775,0.6551287174224854,0.2955511212348938,0.8970588445663452,0.6015077233314514,0.07143792510032654,1.0,0
baseline-short,val,all,ged_ss,1,3021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
baseline-short,val,all,ged_yy,1,3021,0.3909741938114166,0.14010995626449585,0.375,0.32249999046325684,0.5178571343421936,0.19535714387893677,0.04095947742462158,0.7271875143051147,0
baseline-short,val,all,oracle_dice,1,3021,0.41600707173347473,0.29414835572242737,0.45831871032714844,0.1513330191373825,0.75,0.5986669808626175,0.0,0.962845504283905,0
baseline-short,val,all,oracle_dice_per_grader,1,3021,0.41600707173347473,0.29414835572242737,0.45831871032714844,0.1513330191373825,0.75,0.5986669808626175,0.0,0.962845504283905,0
baseline-short,val,all,random_sample_dice,1,3021,0.41600707173347473,0.29414835572242737,0.45831871032714844,0.1513330191373825,0.75,0.5986669808626175,0.0,0.962845504283905,0
baseline-short,val,all,hungarian_iou,1,3021,0.6344776749610901,0.3880218267440796,0.7702702879905701,0.2897196114063263,1.0,0.7102803885936737,0.0,1.0,0
baseline-short,val,all,emptiest_sample_dice,1,3021,0.41600707173347473,0.29414835572242737,0.45831871032714844,0.1513330191373825,0.75,0.5986669808626175,0.0,0.962845504283905,0
baseline-short,val,all,ged,4,3021,0.4296051561832428,0.3572898507118225,0.31289398670196533,0.17049247026443481,0.5486541986465454,0.3781617283821106,0.0,1.8786540031433105,0
baseline-short,val,all,ged_ys,4,3021,0.6261659860610962,0.18338893353939056,0.6300351619720459,0.501234769821167,0.75,0.248765230178833,0.12704356014728546,1.0,0
baseline-short,val,all,ged_ss,4,3021,0.4317527115345001,0.20002920925617218,0.5011645555496216,0.375,0.5833333134651184,0.2083333134651184,0.0,0.7325581312179565,0
baseline-short,val,all,ged_yy,4,3021,0.3909741938114166,0.14010995626449585,0.375,0.32249999046325684,0.5178571343421936,0.19535714387893677,0.04095947742462158,0.7271875143051147,0
baseline-short,val,all,oracle_dice,4,3021,0.6258353590965271,0.211214080452919,0.7436069846153259,0.5,0.75,0.25,0.0,0.9695684909820557,0
baseline-short,val,all,oracle_dice_per_grader,4,3021,0.7361714839935303,0.23054125905036926,0.8043672442436218,0.672214686870575,0.8967325687408447,0.22451788187026978,0.0,1.0,0
baseline-short,val,all,random_sample_dice,4,3021,0.41318264603614807,0.18525560200214386,0.4114481210708618,0.29035353660583496,0.5391358733177185,0.24878233671188354,0.0,0.9315929412841797,0
baseline-short,val,all,hungarian_iou,4,3021,0.5055251717567444,0.22603446245193481,0.5078125,0.3534262776374817,0.6842105388641357,0.33078426122665405,0.0,1.0,0
baseline-short,val,all,emptiest_sample_dice,4,3021,0.3992052376270294,0.3051091730594635,0.5,0.0,0.75,0.75,0.0,0.9381064176559448,0
baseline-short,val,all,ged,8,3021,0.35898128151893616,0.30993711948394775,0.2592695355415344,0.1359398365020752,0.4771043658256531,0.3411645293235779,0.013980209827423096,1.8741648197174072,0
baseline-short,val,all,ged_ys,8,3021,0.6254324913024902,0.16022886335849762,0.6343909502029419,0.5229300260543823,0.7339540719985962,0.21102404594421387,0.25,1.0,0
baseline-short,val,all,ged_ss,8,3021,0.5009095072746277,0.17849408090114594,0.5486778616905212,0.4017857313156128,0.6269253492355347,0.22513961791992188,0.0,0.7886789441108704,0
baseline-short,val,all,ged_yy,8,3021,0.3909741938114166,0.14010995626449585,0.375,0.32249999046325684,0.5178571343421936,0.19535714387893677,0.04095947742462158,0.7271875143051147,0
baseline-short,val,all,oracle_dice,8,3021,0.6720456480979919,0.17611339688301086,0.75,0.5,0.75,0.25,0.0,0.9787496328353882,0
baseline-short,val,all,oracle_dice_per_grader,8,3021,0.8169517517089844,0.17401011288166046,0.8696836233139038,0.7595238089561462,0.9252136945724487,0.1656898856163025,0.0,1.0,0
baseline-short,val,all,random_sample_dice,8,3021,0.41357502341270447,0.15895871818065643,0.40811896324157715,0.31136202812194824,0.5101521611213684,0.19879013299942017,0.0,0.8514741063117981,0
baseline-short,val,all,hungarian_iou,8,3021,0.6832525730133057,0.21125353872776031,0.75,0.56573086977005,0.8369565010070801,0.27122563123703003,0.0,1.0,0
baseline-short,val,all,emptiest_sample_dice,8,3021,0.3857302963733673,0.30800652503967285,0.5,0.0,0.75,0.75,0.0,0.902080774307251,0
baseline-short,val,all,ged,16,3021,0.32397401332855225,0.2848536968231201,0.2366442084312439,0.12002217769622803,0.4357229471206665,0.3157007694244385,0.009684145450592041,1.8537894487380981,0
baseline-short,val,all,ged_ys,16,3021,0.6250607967376709,0.1470923125743866,0.6312756538391113,0.53125,0.7201896905899048,0.18893969058990479,0.25,1.0,0
baseline-short,val,all,ged_ss,16,3021,0.5351732969284058,0.16418102383613586,0.587922215461731,0.4787769317626953,0.6442306637763977,0.1654537320137024,0.0,0.7725821137428284,0
baseline-short,val,all,ged_yy,16,3021,0.3909741938114166,0.14010995626449585,0.375,0.32249999046325684,0.5178571343421936,0.19535714387893677,0.04095947742462158,0.7271875143051147,0
baseline-short,val,all,oracle_dice,16,3021,0.6893600225448608,0.1673203557729721,0.75,0.5413461327552795,0.7621712684631348,0.22082513570785522,0.0,0.9787496328353882,0
baseline-short,val,all,oracle_dice_per_grader,16,3021,0.8513651490211487,0.15124256908893585,0.898888885974884,0.819940447807312,0.9387584924697876,0.11881804466247559,0.0,1.0,0
baseline-short,val,all,random_sample_dice,16,3021,0.4138004183769226,0.14369533956050873,0.41096630692481995,0.328125,0.5003921389579773,0.1722671389579773,0.0,0.8183523416519165,0
baseline-short,val,all,hungarian_iou,16,3021,0.7711085677146912,0.17239168286323547,0.810758113861084,0.7270717620849609,0.8863636255264282,0.15929186344146729,0.0,1.0,0
baseline-short,val,all,emptiest_sample_dice,16,3021,0.3821023106575012,0.3093632757663727,0.5,0.0,0.75,0.75,0.0,0.75,0
baseline-short,val,all,empty_ged,,3021,0.8461989164352417,0.6858271956443787,0.4895833730697632,0.125,1.6775000095367432,1.5525000095367432,0.125,1.9590405225753784,0
baseline-short,val,all,empty_dice,,3021,0.38141342997550964,0.3098054826259613,0.5,0.0,0.75,0.75,0.0,0.75,0
baseline-short,val,all,empty_oracle_dice,,3021,0.38141342997550964,0.3098054826259613,0.5,0.0,0.75,0.75,0.0,0.75,0
baseline-short,val,all,empty_hungarian_iou,,3021,0.6855345964431763,0.46430259943008423,1.0,0.0,1.0,1.0,0.0,1.0,0
baseline-short,val,bucket_1,ged,1,993,0.6363105177879333,0.6475180387496948,0.125,0.125,1.3888888359069824,1.2638888359069824,0.125,1.625,0
baseline-short,val,bucket_1,ged_ys,1,993,0.5056552290916443,0.3237590193748474,0.25,0.25,0.8819444179534912,0.6319444179534912,0.25,1.0,0
baseline-short,val,bucket_1,ged_ss,1,993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
baseline-short,val,bucket_1,ged_yy,1,993,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0
baseline-short,val,bucket_1,oracle_dice,1,993,0.5055233836174011,0.31057196855545044,0.75,0.1603773534297943,0.75,0.5896226465702057,0.0,0.75,0
baseline-short,val,bucket_1,oracle_dice_per_grader,1,993,0.5055233836174011,0.31057196855545044,0.75,0.1603773534297943,0.75,0.5896226465702057,0.0,0.75,0
baseline-short,val,bucket_1,random_sample_dice,1,993,0.5055233836174011,0.31057196855545044,0.75,0.1603773534297943,0.75,0.5896226465702057,0.0,0.75,0
baseline-short,val,bucket_1,hungarian_iou,1,993,0.7528070211410522,0.3494851589202881,1.0,0.4722222089767456,1.0,0.5277777910232544,0.0,1.0,0
baseline-short,val,bucket_1,emptiest_sample_dice,1,993,0.5055233836174011,0.31057196855545044,0.75,0.1603773534297943,0.75,0.5896226465702057,0.0,0.75,0
baseline-short,val,bucket_1,ged,4,993,0.253679484128952,0.23053504526615143,0.14689403772354126,0.125,0.33352333307266235,0.20852333307266235,0.0,1.337104082107544,0
baseline-short,val,bucket_1,ged_ys,4,993,0.5160903930664062,0.18663479387760162,0.5414086580276489,0.4038461446762085,0.625,0.2211538553237915,0.25,1.0,0
baseline-short,val,bucket_1,ged_ss,4,993,0.40350133180618286,0.2225012481212616,0.4091511070728302,0.375,0.5859375,0.2109375,0.0,0.7325581312179565,0
baseline-short,val,bucket_1,ged_yy,4,993,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0
baseline-short,val,bucket_1,oracle_dice,4,993,0.7252296805381775,0.11903528869152069,0.75,0.75,0.75,0.0,0.0,0.75,0
baseline-short,val,bucket_1,oracle_dice_per_grader,4,993,0.8267166018486023,0.1635536253452301,0.865384578704834,0.75,0.9333333373069763,0.18333333730697632,0.0,1.0,0
baseline-short,val,bucket_1,random_sample_dice,4,993,0.4951496124267578,0.17966698110103607,0.4738420248031616,0.375,0.606249988079071,0.23124998807907104,0.0,0.75,0
baseline-short,val,bucket_1,hungarian_iou,4,993,0.6347388625144958,0.20035043358802795,0.699999988079071,0.5,0.75,0.25,0.0,1.0,0
baseline-short,val,bucket_1,emptiest_sample_dice,4,993,0.7224002480506897,0.13224972784519196,0.75,0.75,0.75,0.0,0.0,0.75,0
baseline-short,val,bucket_1,ged,8,993,0.1886843740940094,0.16166678071022034,0.125,0.08274215459823608,0.24233603477478027,0.1595938801765442,0.013980209827423096,1.1831284761428833,0
baseline-short,val,bucket_1,ged_ys,8,993,0.5148623585700989,0.15373340249061584,0.5080900192260742,0.41055160760879517,0.625,0.21444839239120483,0.25,1.0,0
baseline-short,val,bucket_1,ged_ss,8,993,0.4660404324531555,0.20137327909469604,0.5299478769302368,0.3860887289047241,0.62109375,0.23500502109527588,0.0,0.7886789441108704,0
baseline-short,val,bucket_1,ged_yy,8,993,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0
baseline-short,val,bucket_1,oracle_dice,8,993,0.7476330995559692,0.03769861161708832,0.75,0.75,0.75,0.0,0.0,0.75,0
baseline-short,val,bucket_1,oracle_dice_per_grader,8,993,0.8778837323188782,0.0964280217885971,0.9129213690757751,0.7908163070678711,0.949999988079071,0.15918368101119995,0.0,1.0,0
baseline-short,val,bucket_1,random_sample_dice,8,993,0.4963023066520691,0.14761210978031158,0.504033088684082,0.3812499940395355,0.5986669659614563,0.21741697192192078,0.0,0.75,0
baseline-short,val,bucket_1,hungarian_iou,8,993,0.8143976330757141,0.1272677183151245,0.8333333730697632,0.75,0.90625,0.15625,0.0,1.0,0
baseline-short,val,bucket_1,emptiest_sample_dice,8,993,0.7473845481872559,0.04139888659119606,0.75,0.75,0.75,0.0,0.0,0.75,0
baseline-short,val,bucket_1,ged,16,993,0.15625858306884766,0.1305399388074875,0.10862565040588379,0.07327306270599365,0.18896234035491943,0.11568927764892578,0.009684145450592041,1.018270492553711,0
baseline-short,val,bucket_1,ged_ys,16,993,0.5131205916404724,0.1340022087097168,0.5151411890983582,0.4267171323299408,0.6072379946708679,0.18052086234092712,0.25,0.90625,0
baseline-short,val,bucket_1,ged_ss,16,993,0.4949825704097748,0.18439726531505585,0.5493359565734863,0.40639811754226685,0.6313784718513489,0.22498035430908203,0.0,0.7725821137428284,0
baseline-short,val,bucket_1,ged_yy,16,993,0.375,0.0,0.375,0.375,0.375,0.0,0.375,0.375,0
baseline-short,val,bucket_1,oracle_dice,16,993,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0
baseline-short,val,bucket_1,oracle_dice_per_grader,16,993,0.8965927362442017,0.08347427845001221,0.9318181872367859,0.8382352590560913,0.9621212482452393,0.12388598918914795,0.75,1.0,0
baseline-short,val,bucket_1,random_sample_dice,16,993,0.4979977607727051,0.12867923080921173,0.4973212480545044,0.4109826683998108,0.5801273584365845,0.16914469003677368,0.09375,0.75,0
baseline-short,val,bucket_1,hungarian_iou,16,993,0.8670089840888977,0.08373499661684036,0.8899999856948853,0.7934210300445557,0.9318181872367859,0.13839715719223022,0.4305555522441864,1.0,0
baseline-short,val,bucket_1,emptiest_sample_dice,16,993,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0
baseline-short,val,bucket_1,empty_ged,,993,0.125,0.0,0.125,0.125,0.125,0.0,0.125,0.125,0
baseline-short,val,bucket_1,empty_dice,,993,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0
baseline-short,val,bucket_1,empty_oracle_dice,,993,0.75,0.0,0.75,0.75,0.75,0.0,0.75,0.75,0
baseline-short,val,bucket_1,empty_hungarian_iou,,993,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
baseline-short,val,bucket_2,ged,1,552,0.6935054063796997,0.3308006823062897,0.47762131690979004,0.44299082458019257,0.9679421335458755,0.524951308965683,0.3776881694793701,1.484375,0
baseline-short,val,bucket_2,ged_ys,1,552,0.6232635974884033,0.16544906795024872,0.5,0.5,0.7580892890691757,0.2580892890691757,0.5,1.0,0
baseline-short,val,bucket_2,ged_ss,1,552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
baseline-short,val,bucket_2,ged_yy,1,552,0.5530217289924622,0.03013196773827076,0.550000011920929,0.5303030014038086,0.5725886672735214,0.04228566586971283,0.5,0.625,0
baseline-short,val,bucket_2,oracle_dice,1,552,0.40207958221435547,0.14336895942687988,0.5,0.31583376228809357,0.5,0.18416623771190643,0.0,0.5,0
baseline-short,val,bucket_2,oracle_dice_per_grader,1,552,0.40207958221435547,0.14336895942687988,0.5,0.31583376228809357,0.5,0.18416623771190643,0.0,0.5,0
baseline-short,val,bucket_2,random_sample_dice,1,552,0.40207958221435547,0.14336895942687988,0.5,0.31583376228809357,0.5,0.18416623771190643,0.0,0.5,0
baseline-short,val,bucket_2,hungarian_iou,1,552,0.7780340313911438,0.31260642409324646,1.0,0.5739343613386154,1.0,0.4260656386613846,0.0,1.0,0
baseline-short,val,bucket_2,emptiest_sample_dice,1,552,0.40207958221435547,0.14336895942687988,0.5,0.31583376228809357,0.5,0.18416623771190643,0.0,0.5,0
baseline-short,val,bucket_2,ged,4,552,0.2961570620536804,0.16695766150951385,0.25346803665161133,0.18033276498317719,0.40361954271793365,0.22328677773475647,0.020634055137634277,1.193793773651123,0
baseline-short,val,bucket_2,ged_ys,4,552,0.6331126093864441,0.10104867815971375,0.6215044260025024,0.5623703300952911,0.6957522481679916,0.1333819180727005,0.5,1.0,0
baseline-short,val,bucket_2,ged_ss,4,552,0.41704630851745605,0.20828567445278168,0.4647369384765625,0.375,0.5793944895267487,0.20439448952674866,0.0,0.7303320169448853,0
baseline-short,val,bucket_2,ged_yy,4,552,0.5530217289924622,0.03013196773827076,0.550000011920929,0.5303030014038086,0.5725886672735214,0.04228566586971283,0.5,0.625,0
baseline-short,val,bucket_2,oracle_dice,4,552,0.48585110902786255,0.058404576033353806,0.5,0.5,0.5,0.0,0.0,0.5,0
baseline-short,val,bucket_2,oracle_dice_per_grader,4,552,0.711435854434967,0.19492989778518677,0.7745997905731201,0.5,0.8751440048217773,0.37514400482177734,0.0,0.9873055815696716,0
baseline-short,val,bucket_2,random_sample_dice,4,552,0.39318764209747314,0.08988038450479507,0.4071686565876007,0.3490257263183594,0.459493987262249,0.11046826094388962,0.0,0.5,0
baseline-short,val,bucket_2,hungarian_iou,4,552,0.5750545263290405,0.15230469405651093,0.5694882869720459,0.5,0.6672832518815994,0.16728325188159943,0.0,0.9556136727333069,0
baseline-short,val,bucket_2,emptiest_sample_dice,4,552,0.4747543931007385,0.09251164644956589,0.5,0.5,0.5,0.0,0.0,0.5,0
baseline-short,val,bucket_2,ged,8,552,0.23039455711841583,0.1245085597038269,0.20138177275657654,0.13645359873771667,0.3023202568292618,0.1658666580915451,0.025569260120391846,0.8524188995361328,0
baseline-short,val,bucket_2,ged_ys,8,552,0.63152015209198,0.0835663303732872,0.6207372546195984,0.5716186314821243,0.6842989772558212,0.1126803457736969,0.5,0.9772875308990479,0
baseline-short,val,bucket_2,ged_ss,8,552,0.47962403297424316,0.19633625447750092,0.5396887063980103,0.39379341900348663,0.6268165856599808,0.23302316665649414,0.0,0.7722497582435608,0
baseline-short,val,bucket_2,ged_yy,8,552,0.5530217289924622,0.03013196773827076,0.550000011920929,0.5303030014038086,0.5725886672735214,0.04228566586971283,0.5,0.625,0
baseline-short,val,bucket_2,oracle_dice,8,552,0.49796539545059204,0.022790350019931793,0.5,0.5,0.5,0.0,0.07349193096160889,0.5,0
baseline-short,val,bucket_2,oracle_dice_per_grader,8,552,0.7963407039642334,0.161422461271286,0.8591136932373047,0.7045511305332184,0.9191154092550278,0.2145642787218094,0.07349193096160889,0.9900000095367432,0
baseline-short,val,bucket_2,random_sample_dice,8,552,0.39482516050338745,0.074022576212883,0.4072170853614807,0.35526423156261444,0.44345786422491074,0.0881936326622963,0.04246652126312256,0.5,0
baseline-short,val,bucket_2,hungarian_iou,8,552,0.7083078622817993,0.1494181752204895,0.7308673858642578,0.5810475647449493,0.8225865364074707,0.24153897166252136,0.038803581148386,0.9807692170143127,0
baseline-short,val,bucket_2,emptiest_sample_dice,8,552,0.4954850673675537,0.04305696114897728,0.5,0.5,0.5,0.0,0.0,0.5,0
baseline-short,val,bucket_2,ged,16,552,0.19697774946689606,0.10993555188179016,0.16451868414878845,0.11215876042842865,0.2566576153039932,0.14449885487556458,0.019025683403015137,0.6229689121246338,0
baseline-short,val,bucket_2,ged_ys,16,552,0.632044792175293,0.07370059192180634,0.6258914470672607,0.5855442136526108,0.6793434023857117,0.09379918873310089,0.5,0.9375,0
baseline-short,val,bucket_2,ged_ss,16,552,0.5140901207923889,0.1846141666173935,0.5781265497207642,0.4567551165819168,0.6400400251150131,0.1832849085330963,0.0,0.7708479166030884,0
baseline-short,val,bucket_2,ged_yy,16,552,0.5530217289924622,0.03013196773827076,0.550000011920929,0.5303030014038086,0.5725886672735214,0.04228566586971283,0.5,0.625,0
baseline-short,val,bucket_2,oracle_dice,16,552,0.49980416893959045,0.0033658496104180813,0.5,0.5,0.5,0.0,0.43123793601989746,0.5,0
baseline-short,val,bucket_2,oracle_dice_per_grader,16,552,0.8325912356376648,0.14788749814033508,0.8913275003433228,0.7926874756813049,0.9342749714851379,0.141587495803833,0.4582764208316803,0.9900000095367432,0
baseline-short,val,bucket_2,random_sample_dice,16,552,0.3945118188858032,0.06486500799655914,0.40518784523010254,0.35867829620838165,0.4375,0.07882170379161835,0.0625,0.5,0
baseline-short,val,bucket_2,hungarian_iou,16,552,0.7718436121940613,0.1395832747220993,0.810050368309021,0.7004239410161972,0.8758671283721924,0.17544318735599518,0.4227253496646881,0.9807692170143127,0
baseline-short,val,bucket_2,emptiest_sample_dice,16,552,0.4996722638607025,0.005511595867574215,0.5,0.5,0.5,0.0,0.39436620473861694,0.5,0
baseline-short,val,bucket_2,empty_ged,,552,0.4469781816005707,0.03013196587562561,0.44999998807907104,0.4274113327264786,0.4696969985961914,0.04228566586971283,0.375,0.5,0
baseline-short,val,bucket_2,empty_dice,,552,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0
baseline-short,val,bucket_2,empty_oracle_dice,,552,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0
baseline-short,val,bucket_2,empty_hungarian_iou,,552,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0
baseline-short,val,bucket_3,ged,1,526,0.8872147798538208,0.26223084330558777,0.9593607187271118,0.7459760904312134,1.0211314857006073,0.2751553952693939,0.2104775309562683,1.5332872867584229,0
baseline-short,val,bucket_3,ged_ys,1,526,0.7061293721199036,0.13568828999996185,0.75,0.6571223437786102,0.75,0.09287765622138977,0.3148668706417084,1.0,0
baseline-short,val,bucket_3,ged_ss,1,526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
baseline-short,val,bucket_3,ged_yy,1,526,0.5250439047813416,0.06222116947174072,0.5144747495651245,0.4831572696566582,0.5604564249515533,0.07729915529489517,0.3935697376728058,0.7271875143051147,0
baseline-short,val,bucket_3,oracle_dice,1,526,0.3403259217739105,0.16174271702766418,0.25,0.25,0.4659481793642044,0.2159481793642044,0.0,0.7158209085464478,0
baseline-short,val,bucket_3,oracle_dice_per_grader,1,526,0.3403259217739105,0.16174271702766418,0.25,0.25,0.4659481793642044,0.2159481793642044,0.0,0.7158209085464478,0
baseline-short,val,bucket_3,random_sample_dice,1,526,0.3403259217739105,0.16174271702766418,0.25,0.25,0.4659481793642044,0.2159481793642044,0.0,0.7158209085464478,0
baseline-short,val,bucket_3,hungarian_iou,1,526,0.7661383748054504,0.3005808889865875,0.9756097793579102,0.5841666460037231,1.0,0.41583335399627686,0.0,1.0,0
baseline-short,val,bucket_3,emptiest_sample_dice,1,526,0.3403259217739105,0.16174271702766418,0.25,0.25,0.4659481793642044,0.2159481793642044,0.0,0.7158209085464478,0
baseline-short,val,bucket_3,ged,4,526,0.43032824993133545,0.24154089391231537,0.37420880794525146,0.24326521158218384,0.5644403249025345,0.32117511332035065,0.029470831155776978,1.1004600524902344,0
baseline-short,val,bucket_3,ged_ys,4,526,0.7039090394973755,0.08279236406087875,0.7174268960952759,0.6567532420158386,0.7537063658237457,0.0969531238079071,0.40427401661872864,0.9375,0
baseline-short,val,bucket_3,ged_ss,4,526,0.45244601368904114,0.18346263468265533,0.516970157623291,0.375,0.587256520986557,0.212256520986557,0.0,0.7289402484893799,0
baseline-short,val,bucket_3,ged_yy,4,526,0.5250439047813416,0.06222116947174072,0.5144747495651245,0.4831572696566582,0.5604564249515533,0.07729915529489517,0.3935697376728058,0.7271875143051147,0
baseline-short,val,bucket_3,oracle_dice,4,526,0.48582887649536133,0.1545792520046234,0.5414126515388489,0.321446031332016,0.6168040037155151,0.29535797238349915,0.25,0.7158209085464478,0
baseline-short,val,bucket_3,oracle_dice_per_grader,4,526,0.6717910766601562,0.2240622639656067,0.7352258563041687,0.5527143329381943,0.856252521276474,0.3035381883382797,0.25,0.9698279500007629,0
baseline-short,val,bucket_3,random_sample_dice,4,526,0.3430587649345398,0.10135719180107117,0.3322446346282959,0.256027489900589,0.41068338602781296,0.15465589612722397,0.0625,0.6612066030502319,0
baseline-short,val,bucket_3,hungarian_iou,4,526,0.47416332364082336,0.16156017780303955,0.46404486894607544,0.3432959169149399,0.5876116901636124,0.24431577324867249,0.18985587358474731,0.943078875541687,0
baseline-short,val,bucket_3,emptiest_sample_dice,4,526,0.2579469382762909,0.07336492836475372,0.25,0.25,0.25,0.0,0.0,0.6631495356559753,0
baseline-short,val,bucket_3,ged,8,526,0.3566676080226898,0.20866356790065765,0.3042812943458557,0.19134141504764557,0.48704661428928375,0.2957051992416382,0.04176512360572815,1.0570652484893799,0
